locname,nmeas,firstyear,lastyear,nyears,yearspan,mean,std,q05,q50,q95,q95-q05,ref,firstdate,lastdate,alias,xcr,ycr
P11D0013,64.0,1993.0,1995.0,3.0,3.0,-102.078125,7.752735692275709,-112.85,-103.5,-88.0,24.849999999999994,NAP,1993-02-09,1995-11-24,11DS7039,198010.0,556680.0
P11D0014,64.0,1993.0,1995.0,3.0,3.0,-105.15625,7.797473644591256,-115.85000000000001,-106.5,-91.0,24.85000000000001,NAP,1993-02-09,1995-11-24,11DS7040,197970.0,557060.0
P11D0015,374.0,1992.0,2012.0,21.0,21.0,-93.21390374331551,6.944608049888863,-102.0,-93.0,-83.0,19.0,NAP,1992-02-17,2012-06-28,11DS7042,198930.0,557820.0
P11D0016,315.0,1996.0,2012.0,17.0,17.0,-90.5111111111111,8.832610233592922,-108.6,-90.0,-78.0,30.599999999999994,NAP,1996-05-14,2012-06-28,11DS7043,190800.0,559250.0
P11D0017,0.0,,,0.0,,,,,,,,NAP,,,11DS7048,191440.0,560055.0
P11D0018,225.0,2003.0,2017.0,15.0,15.0,-50.85333333333333,20.378358618887827,-84.80000000000001,-48.0,-20.0,64.80000000000001,NAP,2003-08-14,2017-09-27,11DS7056,199475.0,561077.0
P11D0019,263.0,2003.0,2017.0,15.0,15.0,-47.09125475285171,21.663439659602428,-80.0,-46.0,-10.100000000000023,69.89999999999998,NAP,2003-08-14,2017-09-27,11DS7057,199455.0,561073.0
P11D0020,93.0,1992.0,1996.0,5.0,5.0,-12.021505376344086,9.75791595558019,-24.0,-16.0,0.0,24.0,NAP,1992-12-14,1996-10-29,11DS7602,198822.0,550085.0
P11D0021,160.0,1996.0,2003.0,8.0,8.0,11.425,8.53962278046896,-1.0,12.5,24.0,25.0,NAP,1996-11-14,2003-12-15,11DS7603,198822.0,550085.0
P11D0022,51.0,2009.0,2012.0,4.0,4.0,-105.52941176470588,8.271282708689073,-120.0,-105.0,-92.0,28.0,NAP,2009-08-28,2012-06-28,,198984.0,560774.0
P11E0001,5.0,1980.0,1981.0,2.0,2.0,188.4,2.6076809620810595,184.8,190.0,190.0,5.199999999999989,NAP,1980-07-14,1981-01-14,11ES7021,206310.0,563585.0
