locname,nmeas,firstyear,lastyear,nyears,yearspan,mean,std,q05,q50,q95,q95-q05,ref,firstdate,lastdate,alias,xcr,ycr
P58A0027,54.0,1985.0,1987.0,3.0,3.0,28.13759259259259,0.0832349524093432,28.0165,28.13,28.257,0.24050000000000082,NAP,1985-04-29,1987-11-11,58AS7126,186380.0,373570.0
P58A0028,165.0,1985.0,2002.0,18.0,18.0,28.199696969696973,0.24222903957352526,27.82,28.24,28.54,0.7199999999999989,NAP,1985-04-29,2002-04-15,58AS7127,187430.0,373720.0
P58A0029,89.0,1985.0,1992.0,8.0,8.0,27.859101123595504,0.1377962960433576,27.57,27.87,28.01,0.4400000000000013,NAP,1985-04-29,1992-12-15,58AS7128,187400.0,373730.0
P58A0030,19.0,1985.0,1986.0,2.0,2.0,27.86157894736842,0.0764680875990284,27.767,27.84,27.956,0.18900000000000006,NAP,1985-04-29,1986-02-17,58AS7129,186860.0,374360.0
P58A0031,42.0,1985.0,1987.0,3.0,3.0,26.93595238095238,0.11755765630178443,26.75,26.96,27.07,0.3200000000000003,NAP,1985-04-29,1987-04-29,58AS7130,185830.0,374670.0
P58A0032,42.0,1985.0,1987.0,3.0,3.0,28.397857142857134,0.10127325301876855,28.240499999999997,28.4,28.54,0.2995000000000019,NAP,1985-11-16,1987-11-11,58AS7131,180520.0,371590.0
P58A0033,383.0,1985.0,2019.0,28.0,35.0,28.104595300261067,0.14920129653876807,27.76,28.15,28.25,0.48999999999999844,NAP,1985-04-29,2019-05-28,58AS7132,183310.0,371210.0
P58A0034,469.0,1980.0,2017.0,31.0,38.0,27.792835820895526,0.16367787025083216,27.474,27.82,27.98,0.5060000000000002,NAP,1980-01-15,2017-12-28,58AS7133,190177.0,378780.0
P58A0035,230.0,1980.0,2019.0,30.0,40.0,27.157869565217386,0.19650500940264626,26.85,27.13,27.52,0.6699999999999982,NAP,1980-01-15,2019-01-28,58AS7134,182350.0,372375.0
P58A0036,61.0,1980.0,1985.0,6.0,6.0,27.80180327868852,0.1268267610656539,27.56,27.84,27.94,0.38000000000000256,NAP,1980-01-15,1985-02-14,58AS7135,184520.0,371510.0
P58A0037,104.0,1980.0,1985.0,6.0,6.0,28.024807692307693,0.38988168673200324,27.223,28.145,28.3885,1.1655000000000015,NAP,1980-01-15,1985-02-28,58AS7136,185600.0,372950.0
P58A0038,203.0,1985.0,2019.0,14.0,35.0,27.156699507389153,0.16228395646060811,26.95,27.15,27.389,0.43900000000000006,NAP,1985-10-14,2019-04-15,58AS7137,184591.0,373344.0
P58A0039,507.0,1980.0,2018.0,34.0,39.0,27.078224852071035,0.17598397770485238,26.78,27.1,27.337,0.5569999999999986,NAP,1980-01-15,2018-09-14,58AS7138,184521.0,373987.0
P58A0040,317.0,1985.0,2018.0,27.0,34.0,25.651671924290255,1.5195044306649872,25.378,25.67,26.14,0.7620000000000005,NAP,1985-04-29,2018-05-28,58AS7139,183630.0,374780.0
P58A0041,416.0,1980.0,2018.0,32.0,39.0,27.740384615384624,0.49620326786494634,27.11,27.8,28.1,0.990000000000002,NAP,1980-01-15,2018-09-14,58AS7140,186240.0,373900.0
P58A0042,312.0,1980.0,2017.0,27.0,38.0,27.732339743589744,0.32173060962205585,27.161,27.79,28.174500000000002,1.0135000000000005,NAP,1980-01-15,2017-12-28,58AS7141,186122.0,374116.0
P58A0044,480.0,1980.0,2017.0,32.0,38.0,28.207437500000008,2.903975587570357,27.96,28.42,28.65,0.6899999999999977,NAP,1980-01-15,2017-12-28,58AS7143,183960.0,371087.0
P58A0045,443.0,1980.0,2019.0,33.0,40.0,28.10390519187362,0.21345225296128992,27.77,28.11,28.51,0.740000000000002,NAP,1980-01-15,2019-05-28,58AS7144,184550.0,371540.0
P58A0046,174.0,1980.0,2002.0,22.0,23.0,28.086034482758617,0.2763047219685194,27.639499999999998,28.075,28.493499999999997,0.8539999999999992,NAP,1980-01-15,2002-04-14,58AS7145,183980.0,372460.0
P58A0047,66.0,1980.0,1985.0,6.0,6.0,27.51257575757576,0.16194311067646908,27.2275,27.53,27.697499999999998,0.46999999999999886,NAP,1980-01-15,1985-06-27,58AS7146,183390.0,372520.0
P58A0048,391.0,1980.0,2017.0,30.0,38.0,27.612173913043474,0.3602778563543201,27.13,27.55,27.975,0.8450000000000024,NAP,1980-01-15,2017-12-28,58AS7147,183760.0,373040.0
P58A0049,413.0,1985.0,2017.0,28.0,33.0,26.73498789346248,0.5185756372995639,26.4,26.77,27.07,0.6700000000000017,NAP,1985-04-29,2017-06-14,58AS7148,184490.0,373990.0
P58A0050,333.0,1985.0,2017.0,26.0,33.0,28.459819819819835,0.14816131298767737,28.23,28.48,28.61,0.379999999999999,NAP,1985-04-29,2017-12-28,58AS7149,186720.0,373590.0
P58A0051,390.0,1985.0,2017.0,26.0,33.0,27.675717948717946,0.2346793961071594,27.2,27.7,27.94,0.740000000000002,NAP,1985-04-29,2017-12-28,58AS7150,186000.0,372690.0
P58A0053,346.0,1987.0,2017.0,26.0,31.0,28.195144508670516,0.22677859198202993,27.7225,28.26,28.4575,0.7349999999999994,NAP,1987-12-16,2017-06-14,58AS7152,186050.0,373670.0
P58A0054,302.0,1987.0,2017.0,24.0,31.0,28.065529801324512,0.20954677584825537,27.631,28.1,28.2895,0.6585000000000001,NAP,1987-12-16,2017-12-28,58AS7153,186370.0,373590.0
P58A0055,375.0,1987.0,2017.0,26.0,31.0,28.13202666666667,0.199979007810976,27.7,28.2,28.34,0.6400000000000006,NAP,1987-12-16,2017-12-28,58AS7154,186380.0,373570.0
P58A0056,375.0,1987.0,2019.0,28.0,33.0,27.630613333333322,0.20148618225557968,27.21,27.67,27.893,0.6829999999999998,NAP,1987-12-16,2019-05-28,58AS7155,182800.0,372410.0
P58A0057,410.0,1980.0,2019.0,38.0,40.0,28.670756097560968,0.25855185199598324,28.2445,28.66,29.07,0.8255000000000017,NAP,1980-01-15,2019-03-29,58AS7156,186120.0,365983.0
P58A0058,9.0,1989.0,1989.0,1.0,1.0,28.52444444444444,0.22192966853888166,28.156,28.62,28.72,0.5640000000000001,NAP,1989-01-16,1989-09-15,58AS7158,188200.0,368900.0
P58A0059,411.0,1980.0,2015.0,33.0,36.0,28.243503649635066,0.2938713620373241,27.78,28.2,28.72,0.9399999999999977,NAP,1980-01-14,2015-12-31,58AS7159,188212.0,368903.0
P58A0060,450.0,1985.0,2019.0,30.0,35.0,27.46828888888886,0.5008882587568362,27.1,27.52,27.79,0.6899999999999977,NAP,1985-04-29,2019-05-28,58AS7160,184450.0,372570.0
P58A0061,421.0,1985.0,2019.0,26.0,35.0,27.60959619952495,0.18923424230755,27.23,27.65,27.84,0.6099999999999994,NAP,1985-04-29,2019-05-14,58AS7161,184480.0,372490.0
P58A0062,32.0,1998.0,2002.0,5.0,5.0,27.721249999999998,0.09050931158654912,27.55,27.735,27.85,0.3000000000000007,NAP,1998-10-15,2002-04-14,58AS7161,184450.0,372570.0
P58A0063,367.0,1985.0,2017.0,26.0,33.0,27.529455040871923,0.16788047895330538,27.163,27.58,27.73,0.5670000000000002,NAP,1985-04-29,2017-12-28,58AS7162,185604.0,372946.0
P58A0064,432.0,1985.0,2019.0,30.0,35.0,27.518078703703704,1.2085097583465074,27.1655,27.61,27.83,0.6644999999999968,NAP,1985-04-29,2019-05-28,58AS7163,185613.0,372939.0
